date,Logic Gate,Buy-and-Hold,MA Trend,Model_A_d5bps,Model_A_d10bps,Model_A_d20bps,Model_B_d5bps,Model_B_d10bps,Model_B_d20bps,Model_C_d5bps,Model_C_d10bps,Model_C_d20bps
2006-03-21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-03-22,0.0,0.005353728489,-0.005353728489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-26,0.0,0.005289968652,-0.005289968652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-05-30,-0.0,-0.017735334243,0.017735334243,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-05-31,0.0,0.009523809524,-0.009523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-01,0.0,0.010809748428,-0.010809748428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-02,0.0,0.001944390434,-0.001944390434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-05,-0.0,-0.014554628372,0.014554628372,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-06-06,-0.0,-0.002953918866,0.002953918866,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-06-07,-0.0,-0.007702942919,0.007702942919,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-06-08,-0.0,-0.000398089172,0.000398089172,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-06-09,-0.0,-0.003584229391,0.003584229391,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-06-12,-0.0,-0.011590727418,0.011590727418,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-06-13,-0.0,-0.011726647796,0.011726647796,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-06-14,0.0,0.007160392799,-0.007160392799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-15,0.0,0.021328458257,-0.021328458257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-16,-0.0,-0.003906125696,0.003906125696,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-06-19,-0.0,-0.009126984127,0.009126984127,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-06-20,0.0,0.003203844614,-0.003203844614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-21,0.0,0.007385229541,-0.007385229541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-22,-0.0,-0.004557162671,0.004557162671,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-06-23,-0.0,-0.000398089172,0.000398089172,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-06-26,0.0,0.003783353246,-0.003783353246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-27,-0.0,-0.008331680222,0.008331680222,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-06-28,0.0,0.006401280256,-0.006401280256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-29,0.0,0.019677996422,-0.019677996422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-06-30,-0.0,-0.002339181287,0.002339181287,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-07-03,0.0,0.006838608832,-0.006838608832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-05,-0.0,-0.006598098195,0.006598098195,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-07-06,0.0,0.002344207853,-0.002344207853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-07,-0.0,-0.00604170727,0.00604170727,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-07-10,0.0,0.001568627451,-0.001568627451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-11,0.0,0.004111198121,-0.004111198121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-07-12,-0.0,-0.010918307662,0.010918307662,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-07-28,0.0,0.009432108469,-0.009432108469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
