date,n,mz_r2,mz_intcpt,mz_slope,mz_int_se,dm_stat,dm_pval,kill_switch
1992-02-29,46,0.0004,8.7793,-0.0224,2.9273,3.9599,0.0001,True
1992-03-31,68,0.001,9.2269,0.0951,6.4804,-0.1673,0.8671,True
1992-04-30,89,0.0322,2.4061,0.4893,4.8645,-0.7265,0.4675,True
1992-05-31,109,0.0726,-0.3069,0.6305,3.584,-0.791,0.4289,True
1992-06-30,131,0.0477,2.8847,0.4465,2.8264,-0.7221,0.4702,True
1992-07-31,153,0.0965,2.4649,0.4719,1.811,-0.7204,0.4713,True
1992-08-31,174,0.133,1.9927,0.4997,1.4523,-0.6606,0.5089,True
1992-09-30,195,0.067,4.8663,0.3277,1.2778,-0.8201,0.4121,True
1992-10-31,217,0.0631,4.7914,0.3172,1.2104,-0.5864,0.5576,True
1992-11-30,237,0.1144,3.0716,0.4201,1.0839,-0.4452,0.6562,True
1992-12-31,254,0.1835,2.2335,0.4733,0.8648,-0.3357,0.7371,True
1993-01-31,252,0.1422,3.1543,0.4303,0.8682,-0.4294,0.6676,True
1993-02-28,252,0.105,4.0347,0.4279,0.9781,-1.1046,0.2693,True
1993-03-31,253,0.0118,7.0003,0.1364,0.9179,-1.2009,0.2298,True
1993-04-30,253,0.0002,8.2825,0.0162,0.8921,-0.6878,0.4916,True
1993-05-31,253,0.0073,7.2973,0.119,0.9374,-0.629,0.5294,True
1993-06-30,253,0.0033,7.274,0.0927,1.0405,-0.7241,0.469,True
1993-07-31,252,0.0302,4.8457,0.3031,1.0842,-0.5386,0.5902,True
1993-08-31,253,0.0625,3.3049,0.4445,1.0587,-0.4622,0.6439,True
1993-09-30,253,0.0655,2.9463,0.4347,0.988,-0.0808,0.9356,True
1993-10-31,252,0.1371,-1.3419,0.9478,1.3192,-0.5293,0.5966,True
1993-11-30,253,0.2418,-5.2727,1.42,1.3593,-0.6326,0.527,True
1993-12-31,253,0.2717,-5.5214,1.4458,1.2718,-0.565,0.5721,True
1994-01-31,254,0.1643,-1.9115,1.0386,1.2383,-0.7587,0.448,True
